time,open,high,low,close,symbol,涨跌幅,上涨,下跌,ApzUpper_2,Atr_2,Lcsd_2,上涨数量,下跌数量,上涨比例,rank_ApzUpper_2,rank_Atr_2,rank_Lcsd_2,rank_sum,rank
2022-06-26 11:59:00,4.553,5.289,4.509,5.197,APE-USDT,0.1411945542380324,1,0,0.9999999982736505,0.1105527638190954,-0.08128188050281247,141,22,0.8650306748466258,10.0,12.0,1.0,23.0,1.0
2022-06-27 23:59:00,2.5785,2.7446,2.0897,2.221,LUNA2BUSD,-0.13871330515375957,0,1,0.9999999967916321,0.31051940746296647,-0.14841843255769507,20,143,0.12269938650306748,4.0,1.0,1.0,6.0,1.0
2022-06-28 11:59:00,5.117,5.575,4.79,5.365,APE-USDT,0.04867083659108684,1,0,0.999999997289045,0.13328880831981674,-0.094050104187787,112,51,0.6871165644171779,6.0,6.0,4.0,16.0,1.0
2022-06-29 11:59:00,5.778,6.92,5.648,6.252000000000001,UNFI-USDT,0.08184807060045007,1,0,0.9999999984034219,0.24877400049871198,-0.06506728033805285,49,115,0.29878048780487804,1.0,2.0,3.0,6.0,1.0
2022-06-29 23:59:00,0.1309,0.1671,0.1281,0.1609,1000LUNCBUSD,0.22918258212375853,1,0,0.9999999364261838,0.31871144619602476,-0.1389539313853292,76,88,0.4634146341463415,8.0,1.0,1.0,10.0,1.0
2022-07-01 23:59:00,1.1898,1.4293,1.166,1.3266,RLC-USDT,0.11450894732420402,1,0,0.9999999913862155,0.19293575430092585,-0.07928816398552131,126,39,0.7636363636363637,3.0,2.0,2.0,7.0,1.0
2022-07-02 11:59:00,1.3263,1.38,1.179,1.2134,RLC-USDT,-0.08533092115181662,0,1,0.9999999607602709,0.18279527559055123,-0.07718405362863358,51,114,0.3090909090909091,3.0,2.0,2.0,7.0,1.0
2022-07-02 23:59:00,4.863,6.4270000000000005,4.849,6.19,UNFI-USDT,0.27313862607980255,1,0,0.9999999991794694,0.1709192906261313,-0.1396164154678965,144,21,0.8727272727272727,2.0,2.0,1.0,5.0,1.0
2022-07-03 11:59:00,6.191,6.895,5.627999999999999,5.657,UNFI-USDT,-0.08610662358642973,0,1,0.9999999982813413,0.24014518443487828,-0.05250533039711138,28,137,0.1696969696969697,5.0,2.0,4.0,11.0,1.0
2022-07-03 23:59:00,10.234,11.984000000000002,10.036,11.63,AR-USDT,0.1361860101602188,1,0,0.9999999992905156,0.1191804628189887,-0.08937823825290989,145,20,0.8787878787878788,4.0,3.0,2.0,9.0,1.0
2022-07-04 11:59:00,2.587,2.955,2.492,2.934,SNX-USDT,0.13369397217928913,1,0,0.9999999962970745,0.12423035132198461,-0.10794542492798934,148,17,0.896969696969697,19.0,3.0,1.0,23.0,1.0
2022-07-05 23:59:00,16.99,18.65,16.64,18.01,AVAX-USDT,0.06003531489111258,1,0,0.9999999990136385,0.09571428571428557,-0.051682692276633815,144,21,0.8727272727272727,11.0,11.0,6.0,28.0,1.0
2022-07-06 11:59:00,5.477,6.049,5.367999999999999,5.922000000000001,UNFI-USDT,0.08124885886434186,1,0,0.9999999960182093,0.08842880954469713,-0.06175484340209525,105,60,0.6363636363636364,6.0,9.0,2.0,17.0,1.0
2022-07-06 23:59:00,9.495,10.461,9.37,10.262,ENS-USDT,0.08043798694462012,1,0,0.9999999982936032,0.0811234817813766,-0.05442902875727956,142,23,0.8606060606060606,5.0,5.0,3.0,13.0,1.0
2022-07-07 11:59:00,0.7025,0.79,0.7021,0.7666,STORJ-USDT,0.0915563149651144,1,0,0.999999982283193,0.1013002927360611,-0.04607605688540027,119,48,0.7125748502994012,10.0,3.0,2.0,15.0,1.0
2022-07-08 23:59:00,5.909,7.675,5.819,7.475,UNFI-USDT,0.26480541455160744,1,0,0.9999999993312023,0.18587971610011225,-0.15011170278379063,73,94,0.437125748502994,6.0,1.0,1.0,8.0,1.0
2022-07-09 11:59:00,0.882,1.0,0.865,0.939,SRM-USDT,0.06462585034013602,1,0,0.9999999882612445,0.10598572213069767,-0.052601155461256245,137,30,0.8203592814371258,12.0,4.0,3.0,19.0,1.0
2022-07-09 23:59:00,75.2,83.18,73.66,81.8,AAVE-USDT,0.08791062641308689,1,0,0.9999999998170955,0.09917829161093085,-0.06563942437338409,126,41,0.7544910179640718,1.0,6.0,1.0,8.0,1.0
2022-07-12 11:59:00,0.1047,0.1048,0.0909,0.0949,1000LUNCBUSD,-0.09273422562141487,0,1,0.999999721673693,0.10375939849624065,-0.09735972526295665,72,95,0.4311377245508982,3.0,2.0,1.0,6.0,1.0
2022-07-13 23:59:00,5.555,6.324,4.965,6.149,CVXBUSD,0.10633321338611013,1,0,0.9999999987710021,0.1630648330058939,-0.17895266832033713,146,23,0.863905325443787,24.0,2.0,4.0,30.0,1.0
2022-07-15 11:59:00,0.0911,0.15578,0.09011,0.1262599999999999,NKN-USDT,0.38564530289727705,1,0,0.9999999832084475,0.34184377587634596,-0.2061924085903428,112,57,0.6627218934911243,11.0,1.0,1.0,13.0,1.0
2022-07-15 23:59:00,90.91,94.5,86.78,90.38,AAVE-USDT,-0.0060486088199714905,0,1,0.999999999077083,0.07787766808229014,-0.04465314588100169,78,91,0.46153846153846156,4.0,20.0,6.0,30.0,1.0
2022-07-16 11:59:00,6.625,6.648,5.855,6.031,CVXBUSD,-0.0897977663748869,0,1,0.9999999907674363,0.10950462194832893,-0.0808710502461638,31,138,0.1834319526627219,5.0,3.0,1.0,9.0,1.0
2022-07-17 11:59:00,17.283,19.89,16.803,19.12,ETC-USDT,0.10641745269371006,1,0,0.9999999995833346,0.16120436251751286,-0.08316967203287169,92,77,0.5443786982248521,5.0,1.0,2.0,8.0,1.0
2022-07-17 23:59:00,0.5396,0.6246,0.5254,0.5886,TOMO-USDT,0.0908080059303189,1,0,0.9999999866439028,0.14235064704839562,-0.07365816380551787,17,152,0.10059171597633136,16.0,1.0,2.0,19.0,1.0
2022-07-18 23:59:00,20.89,26.9,16.21,17.81,TRB-USDT,-0.14743896601244622,0,1,0.9999999998697182,0.39095607235142077,-0.1937075877892004,149,20,0.8816568047337278,7.0,1.0,1.0,9.0,1.0
2022-07-19 11:59:00,5.408,6.289,5.289,6.173,WAVESBUSD,0.14061345158906136,1,0,0.9999999986641496,0.10781182563659909,-0.09519757970278407,95,74,0.5621301775147929,23.0,13.0,2.0,38.0,1.0
2022-07-19 23:59:00,3.0352,3.4,2.9698,3.3344,GAL-USDT,0.09879391023528639,1,0,0.9999999946763217,0.11486889621604644,-0.0722944303579552,127,42,0.7514792899408284,16.0,7.0,1.0,24.0,1.0
2022-07-20 11:59:00,2.119,2.445,2.086,2.309,DYDX-USDT,0.09017941454202072,1,0,0.9999999951072184,0.11633160153602881,-0.06112176384889021,102,70,0.5930232558139535,12.0,3.0,3.0,18.0,1.0
2022-07-21 11:59:00,11.29,12.599,11.017,12.367,ENS-USDT,0.09520014169323421,1,0,0.9999999986549869,0.12384293503529312,-0.07374965955001392,24,148,0.13953488372093023,1.0,8.0,4.0,13.0,1.0
2022-07-23 11:59:00,15.34,17.72,15.16,16.82,AXS-USDT,0.09576547231270371,1,0,0.9999999993247578,0.1187441715884365,-0.061015831094315603,33,139,0.19186046511627908,5.0,6.0,3.0,14.0,1.0
2022-07-24 11:59:00,6479.0,7449.0,6459.0,6956.0,YFI-USDT,0.07378820623649274,1,0,0.9999999999983562,0.09475956528212,-0.03994426381786663,147,25,0.8546511627906976,1.0,8.0,7.0,16.0,1.0
